Ekrem Abi,1.1,1.17
kaleci_hayrettin,1.08,1.13
necdet komutan,0.79,0.82
Imbrozer,0.68,0.78
Emenike,0.58,0.65
leonidas,1.79,1.8
ChubbyOwl,1.9,2.03
7 Belaaa Hüsnü,0.8,0.86
Jimmori,1.01,1.09
Paco,0.85,0.88
osvaldo_nartallo,1.32,1.3
ersan_kuneri,0.81,0.83
roberto_hilbert,0.6,0.65
servsx,1.5,1.43
﻿valavolo,0.82,0.86
Amigo Orhan,0.41,0.48
